country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,220,233,250,270,289,308,317,324,330,338,350,361,375,393,411,429,448,468,489,511,535,559,586,617,648,679,712
Angola,125,128,132,138,146,151,152,155,166,171,176,181,187,196,205,213,223,233,244,255,266,279,294,310,327,345,364
Albania,95.2,99.1,102,106,112,118,125,133,140,148,156,159,164,168,170,170,170,169,170,172,174,176,179,183,186,190,193
Andorra,4.34,4.7,5.01,5.35,5.59,5.53,5.53,5.59,5.67,5.72,5.75,5.78,5.85,6.08,6.59,6.86,7.17,7.51,7.84,8.19,8.41,8.58,8.74,8.88,9.02,9.16,9.2
United Arab Emirates,7.21,7.72,8.3,8.91,9.6,10.4,11.1,11.8,12.5,13.2,13.8,14.3,14.9,15.5,16.6,18.2,20.2,23.2,26.9,31,35.9,39.1,42.1,45.3,48.8,53,57.7
Argentina,1620,1670,1720,1780,1840,1910,1970,2030,2110,2170,2220,2290,2380,2470,2560,2650,2760,2880,2980,3100,3230,3330,3410,3510,3590,3660,3730
Armenia,136,134,142,138,132,130,131,134,140,141,146,152,152,159,167,181,195,197,211,213,213,212,209,203,202,210,211
American Samoa,1.19,1.24,1.29,1.35,1.4,1.46,1.52,1.58,1.68,1.76,1.87,1.89,1.94,2.01,2.1,2.18,2.29,2.36,2.41,2.49,2.57,2.7,2.81,2.91,3.02,3.13,3.24
Antigua and Barbuda,1.5,1.56,1.6,1.58,1.61,1.71,1.73,1.79,1.77,1.77,1.8,1.81,1.82,1.84,1.8,1.83,1.89,1.92,1.96,2,2.07,2.14,2.23,2.31,2.39,2.48,2.57
Australia,1610,1670,1740,1800,1880,1950,2010,2060,2100,2160,2240,2320,2400,2460,2540,2630,2710,2810,2890,2960,3050,3130,3200,3240,3330,3390,3470
Austria,802,815,826,840,855,868,893,913,926,948,970,985,1020,1050,1080,1110,1140,1180,1210,1250,1280,1310,1350,1370,1390,1400,1430
Azerbaijan,184,181,178,176,174,170,169,169,170,174,178,183,190,197,203,208,216,225,236,246,256,263,273,278,286,295,300
Burundi,43.4,44.1,44.8,45.5,46.2,46.9,47,46.5,46.3,45.5,45.1,44.9,45.3,46.2,47.6,49,50.7,52.2,53.9,55.8,58.3,61.2,64.1,66.9,70.1,73.2,76.4
Belgium,1000,1030,1060,1070,1090,1110,1120,1130,1170,1190,1260,1300,1340,1370,1420,1480,1540,1630,1700,1790,1880,1920,1940,1960,1950,1930,1920
Benin,57,58.3,60,61.6,63.6,66,67.9,69.3,71.1,73.4,76.3,78.5,80.9,83.3,86.1,89.1,92.8,96.7,101,107,113,118,123,128,133,139,145
Burkina Faso,83.5,84.7,86.8,88.4,90.2,92.1,93.3,95.4,98.2,98,98.5,97.8,97.8,99.6,102,104,107,109,112,115,121,125,130,135,139,143,148
Bangladesh,2350,2400,2500,2590,2680,2820,2910,3030,3160,3120,3250,2830,2620,2510,2520,2570,2600,2790,2810,2930,3130,3300,3620,4170,4900,5240,5580
Bulgaria,498,511,512,515,525,542,548,552,550,558,559,559,566,574,595,623,636,653,662,671,684,689,691,691,688,692,696
Bahrain,12.8,12.9,13.1,13.3,13.6,14.1,14.3,14.6,14.8,14.9,15.2,15,15.3,15.6,16,16.6,17.2,18,19.1,20.2,21.3,21.9,22.2,22.6,22.8,23.3,24.2
Bahamas,6.27,6.41,6.57,6.71,6.89,7.42,7.41,8.19,8.5,8.59,8.94,9.29,9.71,10.2,10.3,11.1,11.6,12,12.6,13.3,14.3,15.1,16.1,17.1,17.5,18.1,18.8
Bosnia and Herzegovina,268,272,271,267,265,265,271,280,291,303,315,325,337,351,363,374,389,403,418,432,447,451,460,468,478,480,482
Belarus,515,539,553,570,562,567,548,540,519,495,478,474,465,451,451,448,442,435,435,439,444,446,429,423,417,428,439
Belize,2.61,2.78,2.97,3.11,3.29,3.48,3.51,3.96,4.22,4.35,4.57,4.71,4.77,4.92,4.99,5.23,5.56,5.84,6.15,6.41,6.71,7.07,7.52,7.93,8.18,8.68,9.16
